userId,movieId,rating,timestamp
155,223365,1.5,1104724790
41,44540,5.0,1458737719
138,214418,1.7,1391463404
73,18553,5.0,874504638
277,39129,4.2,845650413
330,310491,4.0,1278664234
18,47413,4.0,842199486
362,306199,3.7,1154401918
426,74945,2.6,1330242022
532,315360,1.3,1215416033
265,21799,2.9,1308264819
391,9730,3.9,1033291464
268,2011,3.0,1314894948
316,44032,4.2,965312277
340,64522,4.1,1314632634
504,132894,3.7,1074278707
536,78320,5.0,1330083355
152,138665,2.9,1458516246
353,223365,1.5,1014972343
536,358083,2.2,1143793660
416,53624,4.2,1260359064
323,86576,2.6,1047513423
387,105843,2.4,1201432850
585,24657,1.9,1255364754
646,45181,2.5,1315183598
595,27621,4.1,1288182345
431,20216,5.0,1447884155
582,56948,4.5,1050156427
193,270616,4.3,1430543231
36,75757,4.6,1374090689
654,268413,3.8,1426708421
555,246218,3.0,1264978869
26,35921,4.5,967006724
93,102489,4.0,1329789795
647,38615,3.7,1099903122
394,66536,1.1,1007397078
185,8692,3.1,1210716031
63,462788,0.4,1131443280
608,29932,4.9,796144754
294,16103,4.3,1451505131
81,45303,3.7,1055256843
394,131940,5.0,854231271
195,37947,3.5,820482572
458,72331,3.6,884697030
473,182899,2.8,1132885917
384,88953,3.4,1110394063
23,42085,2.4,1227903136
658,12161,0.8,906117394
86,66187,3.0,1435612958
543,1915,2.4,1467856733
157,53985,3.6,833509583
659,140441,5.0,1315456917
626,177358,3.5,904082386
489,262357,4.0,1232130384
155,100747,2.6,1256223673
596,60730,0.0,1163697380
558,11120,3.4,1213859427
306,38286,4.2,1407282493
514,106851,4.2,1197221590
370,157152,1.4,1470363393
606,376004,3.5,1370051293
640,15911,4.4,1424870598
10,1435,3.1,1256924239
15,12154,2.7,983954646
441,38286,5.0,1208535595
520,8435,1.7,1061826952
645,47953,2.8,1337913851
97,84701,3.9,1077576156
502,110393,3.5,1166666163
569,396263,2.0,1080246831
615,139933,3.3,1295342429
215,128113,3.1,1271823051
561,223365,1.5,1250282191
458,32303,2.6,1218649336
242,362026,5.0,1230402847
163,5257,4.6,1221846946
176,27138,3.8,1100011286
307,86632,5.0,961065120
